1.000000000000000e-01 1.904253056616012e-04 8.425103676440533e-01
1.000000000000000e-02 1.904253056616012e-04 8.425103676440533e-01
1.000000000000000e-03 2.916553748377737e-05 8.427299584871987e-01
1.000000000000000e-04 4.295576911950150e-07 8.427012225074061e-01
1.000000000000000e-05 2.822738143226644e-08 8.427008211770963e-01
1.000000000000000e-06 1.249646053302911e-09 8.427007941993609e-01
1.000000000000000e-07 3.842259843622742e-11 8.427007929881375e-01
1.000000000000000e-08 2.131628207280301e-12 8.427007929518465e-01
1.000000000000000e-09 7.460698725481052e-14 8.427007929497895e-01
1.000000000000000e-10 2.731148640577885e-14 8.427007929497422e-01
