-3.000000000000000e+00 -9.999779202450906e-01 -9.999779095030014e-01 1.074208921814090e-08
-2.900000000000000e+00 -9.999589259820147e-01 -9.999589021219005e-01 2.386011421773304e-08
-2.800000000000000e+00 -9.999250398538193e-01 -9.999249868053346e-01 5.304848471610057e-08
-2.700000000000000e+00 -9.998657800271268e-01 -9.998656672600594e-01 1.127670673506387e-07
-2.600000000000000e+00 -9.997641992550419e-01 -9.997639655834707e-01 2.336715712036863e-07
-2.500000000000000e+00 -9.995935221568084e-01 -9.995930479825550e-01 4.741742534175586e-07
-2.400000000000000e+00 -9.993114899514650e-01 -9.993114861033550e-01 3.848110052828702e-09
-2.300000000000000e+00 -9.988568268365240e-01 -9.988568234026434e-01 3.433880624292840e-09
-2.200000000000000e+00 -9.981373579386854e-01 -9.981371537020182e-01 2.042366672450058e-07
-2.100000000000000e+00 -9.970205453747805e-01 -9.970205333436670e-01 1.203111343883734e-08
-2.000000000000000e+00 -9.953222881263493e-01 -9.953222650189527e-01 2.310739655175809e-08
-1.900000000000000e+00 -9.927904333092484e-01 -9.927904292352575e-01 4.073990922393023e-09
-1.800000000000000e+00 -9.890905027916784e-01 -9.890905016357308e-01 1.155947670916646e-09
-1.700000000000000e+00 -9.837904608080330e-01 -9.837904585907745e-01 2.217258487924312e-09
-1.600000000000000e+00 -9.763483870720654e-01 -9.763483833446440e-01 3.727421371557682e-09
-1.500000000000000e+00 -9.661051528280225e-01 -9.661051464753108e-01 6.352711690027490e-09
-1.400000000000000e+00 -9.522851214392195e-01 -9.522851197626487e-01 1.676570771103059e-09
-1.300000000000000e+00 -9.340079471056935e-01 -9.340079449406524e-01 2.165041035340209e-09
-1.200000000000000e+00 -9.103139819418187e-01 -9.103139782296353e-01 3.712183338500097e-09
-1.100000000000000e+00 -8.802050776514612e-01 -8.802050695740817e-01 8.077379431981058e-09
-1.000000000000000e+00 -8.427007930179091e-01 -8.427007929497149e-01 6.819422804227315e-11
-9.000000000000000e-01 -7.969082129379574e-01 -7.969082124228322e-01 5.151252757684688e-10
-8.000000000000000e-01 -7.421009647429124e-01 -7.421009647076605e-01 3.525191250020043e-11
-7.000000000000000e-01 -6.778011938465229e-01 -6.778011938374184e-01 9.104494935741059e-12
-6.000000000000000e-01 -6.038560908423626e-01 -6.038560908479259e-01 5.563327576396659e-12
-5.000000000000000e-01 -5.204998778103099e-01 -5.204998778130465e-01 2.736588733398548e-12
-4.000000000000000e-01 -4.283923550442589e-01 -4.283923550466684e-01 2.409517030343977e-12
-3.000000000000000e-01 -3.286267594546204e-01 -3.286267594591274e-01 4.506950368465823e-12
-2.000000000000000e-01 -2.227025892052370e-01 -2.227025892104785e-01 5.241473921557827e-12
-1.000000000000000e-01 -1.124629160128494e-01 -1.124629160182849e-01 5.435471517323265e-12
0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
1.000000000000000e-01 1.124629160128494e-01 1.124629160182849e-01 5.435471517323265e-12
2.000000000000000e-01 2.227025892052370e-01 2.227025892104785e-01 5.241473921557827e-12
3.000000000000000e-01 3.286267594546204e-01 3.286267594591274e-01 4.506950368465823e-12
4.000000000000000e-01 4.283923550442589e-01 4.283923550466684e-01 2.409517030343977e-12
5.000000000000000e-01 5.204998778103099e-01 5.204998778130465e-01 2.736588733398548e-12
6.000000000000000e-01 6.038560908423626e-01 6.038560908479259e-01 5.563327576396659e-12
7.000000000000000e-01 6.778011938465229e-01 6.778011938374184e-01 9.104494935741059e-12
8.000000000000000e-01 7.421009647429124e-01 7.421009647076605e-01 3.525191250020043e-11
9.000000000000000e-01 7.969082129379574e-01 7.969082124228322e-01 5.151252757684688e-10
1.000000000000000e+00 8.427007930179091e-01 8.427007929497149e-01 6.819422804227315e-11
1.100000000000000e+00 8.802050776514612e-01 8.802050695740817e-01 8.077379431981058e-09
1.200000000000000e+00 9.103139819418187e-01 9.103139782296353e-01 3.712183338500097e-09
1.300000000000000e+00 9.340079471056935e-01 9.340079449406524e-01 2.165041035340209e-09
1.400000000000000e+00 9.522851214392195e-01 9.522851197626487e-01 1.676570771103059e-09
1.500000000000000e+00 9.661051528280225e-01 9.661051464753108e-01 6.352711690027490e-09
1.600000000000000e+00 9.763483870720654e-01 9.763483833446440e-01 3.727421371557682e-09
1.700000000000000e+00 9.837904608080330e-01 9.837904585907745e-01 2.217258487924312e-09
1.800000000000000e+00 9.890905027916784e-01 9.890905016357308e-01 1.155947670916646e-09
1.900000000000000e+00 9.927904333092484e-01 9.927904292352575e-01 4.073990922393023e-09
2.000000000000000e+00 9.953222881263493e-01 9.953222650189527e-01 2.310739655175809e-08
2.100000000000000e+00 9.970205453747805e-01 9.970205333436670e-01 1.203111343883734e-08
2.200000000000000e+00 9.981373579386854e-01 9.981371537020182e-01 2.042366672450058e-07
2.300000000000000e+00 9.988568268365240e-01 9.988568234026434e-01 3.433880624292840e-09
2.400000000000000e+00 9.993114899514650e-01 9.993114861033550e-01 3.848110052828702e-09
2.500000000000000e+00 9.995935221568084e-01 9.995930479825550e-01 4.741742534175586e-07
2.600000000000000e+00 9.997641992550419e-01 9.997639655834707e-01 2.336715712036863e-07
2.700000000000000e+00 9.998657800271268e-01 9.998656672600594e-01 1.127670673506387e-07
2.800000000000000e+00 9.999250398538193e-01 9.999249868053346e-01 5.304848471610057e-08
2.900000000000000e+00 9.999589259820147e-01 9.999589021219005e-01 2.386011421773304e-08
3.000000000000000e+00 9.999779202450906e-01 9.999779095030014e-01 1.074208921814090e-08
