# x numerical_u exact_u numerical_du exact_du
0 0 0 1 1
0.000539119991733 0.000539119991733 0.000539119965617 0.999999854675 0.999999854675
0.00105262182812 0.00105262168242 0.00105262163373 0.999999445994 0.999999445994
0.00155073422881 0.00155073367656 0.00155073360728 0.999998797612 0.999998797612
0.00203946332948 0.00203946200439 0.00203946191565 0.999997920295 0.999997920295
0.00252241784128 0.00252241527394 0.00252241516643 0.999996818706 0.999996818706
0.00300179793437 0.00300179355215 0.00300179342627 0.999995494608 0.999995494608
0.00347895746229 0.00347895058855 0.00347895044457 0.999993948433 0.999993948434
0.00395473436339 0.0039547242167 0.00395472405477 0.999992180048 0.999992180048
0.00442964915791 0.00442963485143 0.00442963467165 0.999990189119 0.99999018912
0.00490402592929 0.00490400647034 0.00490400627277 0.999987975288 0.999987975289
0.00537806674575 0.0053780410356 0.00537804082028 0.999985538233 0.999985538234
0.00585189771123 0.00585186454492 0.00585186431187 0.999982877694 0.999982877695
0.00632559756703 0.00632555563333 0.00632555538256 0.999979993473 0.999979993474
0.00679921549769 0.00679916337908 0.00679916311061 0.999976885422 0.999976885423
0.00727278223233 0.00727271840503 0.00727271811885 0.999973553434 0.999973553436
0.00774631697229 0.00774623980621 0.00774623950234 0.999969997434 0.999969997437
0.00821983171665 0.0082197394755 0.00821973915394 0.999966217371 0.999966217373
0.0086933339642 0.00869322480545 0.0086932244662 0.999962213207 0.99996221321
0.00916682840141 0.00916670037632 0.00916670001938 0.99995798492 0.999957984923
0.00964031795722 0.00964016901088 0.00964016863625 0.999953532491 0.999953532495
0.0101138044622 0.0101136324335 0.0101136320412 0.999948855912 0.999948855916
0.0105872890604 0.0105870916821 0.0105870912721 0.999943955174 0.999943955179
0.0110607724668 0.0110605473655 0.0110605469378 0.999938830275 0.99993883028
0.0115342551285 0.0115339998245 0.0115339993791 0.999933481212 0.999933481217
0.0120077373246 0.0120074492323 0.0120074487692 0.999927907983 0.999927907988
0.0124812192298 0.0124808956573 0.0124808951765 0.999922110589 0.999922110594
0.0129547009531 0.0129543391024 0.0129543386039 0.999916089029 0.999916089035
0.0134281825628 0.0134277795297 0.0134277790135 0.999909843305 0.999909843311
0.0139016641014 0.0139012168756 0.0139012163418 0.999903373417 0.999903373424
0.0143751455957 0.0143746510608 0.0143746505092 0.999896679366 0.999896679374
0.0148486270622 0.0148480819956 0.0148480814264 0.999889761154 0.999889761163
0.0153221085113 0.0153215095843 0.0153215089974 0.999882618783 0.999882618792
0.0157955899497 0.0157949337274 0.0157949331228 0.999875252253 0.999875252263
0.0162690713812 0.0162683543227 0.0162683537005 0.999867661567 0.999867661577
0.0167425528085 0.0167417712667 0.0167417706267 0.999859846726 0.999859846737
0.0172160342332 0.0172151844548 0.0172151837971 0.999851807732 0.999851807743
0.0176895156562 0.0176885937818 0.0176885931065 0.999843544586 0.999843544598
0.0181629970782 0.0181619991423 0.0181619984493 0.999835057291 0.999835057303
0.0186364784995 0.0186354004305 0.0186353997198 0.999826345848 0.999826345861
0.0191099599205 0.0191087975405 0.0191087968122 0.999817410259 0.999817410273
0.0195834413411 0.0195821903664 0.0195821896204 0.999808250527 0.999808250541
0.0200569227617 0.0200555788021 0.0200555780384 0.999798866652 0.999798866667
0.0205304041821 0.0205289627415 0.0205289619602 0.999789258639 0.999789258654
0.0210038856024 0.0210023420786 0.0210023412796 0.999779426488 0.999779426504
0.0214773670228 0.0214757167073 0.0214757158906 0.999769370201 0.999769370218
0.0219508484431 0.0219490865214 0.021949085687 0.999759089782 0.9997590898
0.0224243298634 0.0224224514149 0.0224224505628 0.999748585232 0.999748585251
0.0228978112836 0.0228958112815 0.0228958104118 0.999737856554 0.999737856573
0.0233712927039 0.0233691660153 0.0233691651278 0.999726903749 0.99972690377
0.0238447741242 0.0238425155101 0.0238425146049 0.999715726822 0.999715726843
0.0243182555444 0.0243158596597 0.0243158587369 0.999704325773 0.999704325795
0.0247917369647 0.0247891983581 0.0247891974176 0.999692700606 0.999692700629
0.0252652183849 0.0252625314991 0.025262530541 0.999680851324 0.999680851347
0.0257386998052 0.0257358589767 0.0257358580008 0.999668777928 0.999668777952
0.0262121812255 0.0262091806846 0.0262091796911 0.999656480421 0.999656480447
0.0266856626457 0.0266824965169 0.0266824955057 0.999643958808 0.999643958834
0.027159144066 0.0271558063674 0.0271558053385 0.999631213089 0.999631213116
0.0276326254862 0.0276291101299 0.0276291090834 0.999618243268 0.999618243297
0.0281061069065 0.0281024076985 0.0281024066343 0.999605049348 0.999605049378
0.0285795883268 0.0285756989669 0.028575697885 0.999591631332 0.999591631363
0.029053069747 0.029048983829 0.0290489827295 0.999577989223 0.999577989255
0.0295265511673 0.0295222621789 0.0295222610616 0.999564123024 0.999564123057
0.0300000325875 0.0299955339102 0.0299955327754 0.999550032738 0.999550032772
0.0304735140078 0.0304687989171 0.0304687977646 0.999535718368 0.999535718403
0.0309469954281 0.0309420570933 0.0309420559231 0.999521179918 0.999521179953
0.0314204768483 0.0314153083328 0.0314153071449 0.99950641739 0.999506417427
0.0318939582686 0.0318885525294 0.0318885513239 0.999491430788 0.999491430826
0.0323674396888 0.0323617895772 0.032361788354 0.999476220115 0.999476220155
0.0328409211091 0.0328350193699 0.032835018129 0.999460785376 0.999460785416
0.0333144025294 0.0333082418015 0.0333082405429 0.999445126572 0.999445126614
0.0337878839496 0.0337814567659 0.0337814554897 0.999429243708 0.999429243751
0.0342613653699 0.034254664157 0.0342546628631 0.999413136788 0.999413136832
0.0347348467901 0.0347278638687 0.0347278625572 0.999396805814 0.99939680586
0.0352083282104 0.035201055795 0.0352010544659 0.999380250791 0.999380250838
0.0356818096306 0.0356742398298 0.035674238483 0.999363471723 0.99936347177
0.0361552910509 0.0361474158669 0.0361474145024 0.999346468612 0.999346468661
0.0366287724712 0.0366205838004 0.0366205824182 0.999329241463 0.999329241513
0.0371022538914 0.037093743524 0.0370937421242 0.99931179028 0.999311790331
0.0375757353117 0.0375668949319 0.0375668935144 0.999294115066 0.999294115119
0.0380492167319 0.0380400379177 0.0380400364826 0.999276215826 0.99927621588
0.0385226981522 0.0385131723757 0.0385131709229 0.999258092564 0.999258092619
0.0389961795725 0.0389862981995 0.0389862967291 0.999239745283 0.99923974534
0.0394696609927 0.0394594152832 0.0394594137951 0.999221173988 0.999221174047
0.039943142413 0.0399325235207 0.039932522015 0.999202378683 0.999202378743
0.0404166238332 0.040405622806 0.0404056212826 0.999183359372 0.999183359433
0.0408901052535 0.0408787130329 0.0408787114919 0.99916411606 0.999164116122
0.0413635866738 0.0413517940955 0.0413517925368 0.99914464875 0.999144648814
0.041837068094 0.0418248658876 0.0418248643113 0.999124957448 0.999124957513
0.0423105495143 0.0422979283032 0.0422979267093 0.999105042156 0.999105042223
0.0427840309345 0.0427709812363 0.0427709796247 0.999084902881 0.99908490295
0.0432575123548 0.0432440245808 0.0432440229515 0.999064539627 0.999064539696
0.0437309937751 0.0437170582306 0.0437170565837 0.999043952397 0.999043952468
0.0442044751953 0.0441900820797 0.0441900804152 0.999023141197 0.99902314127
0.0446779566156 0.0446630960221 0.04466309434 0.999002106031 0.999002106106
0.0451514380358 0.0451360999517 0.0451360982519 0.998980846905 0.998980846981
0.0456249194561 0.0456090937625 0.0456090920451 0.998959363822 0.9989593639
0.0460984008763 0.0460820773485 0.0460820756134 0.998937656788 0.998937656867
0.0465718822966 0.0465550506035 0.0465550488508 0.998915725807 0.998915725888
0.0470453637169 0.0470280134216 0.0470280116513 0.998893570885 0.998893570967
0.0475188451371 0.0475009656968 0.0475009639088 0.998871192026 0.99887119211
0.0479923265574 0.0479739073229 0.0479739055173 0.998848589235 0.998848589321
0.0484658079776 0.0484468381941 0.0484468363708 0.998825762518 0.998825762606
0.0489392893979 0.0489197582042 0.0489197563633 0.99880271188 0.998802711969
0.0494127708182 0.0493926672472 0.0493926653888 0.998779437325 0.998779437416
0.0498862522384 0.0498655652172 0.0498655633411 0.998755938859 0.998755938952
0.0503597336587 0.0503384520081 0.0503384501143 0.998732216488 0.998732216583
0.0508332150789 0.0508113275138 0.0508113256025 0.998708270216 0.998708270312
0.0513066964992 0.0512841916285 0.0512841896995 0.998684100049 0.998684100147
0.0517801779195 0.051757044246 0.0517570422994 0.998659705992 0.998659706092
0.0522536593397 0.0522298852604 0.0522298832962 0.998635088051 0.998635088153
0.05272714076 0.0527027145656 0.0527027125838 0.998610246232 0.998610246336
0.0532006221802 0.0531755320557 0.0531755300563 0.998585180539 0.998585180645
0.0536741036005 0.0536483376247 0.0536483356076 0.998559890979 0.998559891086
0.0541475850208 0.0541211311665 0.0541211291318 0.998534377557 0.998534377666
0.054621066441 0.0545939125752 0.0545939105229 0.998508640279 0.99850864039
0.0550945478613 0.0550666817448 0.0550666796749 0.99848267915 0.998482679264
0.0555680292815 0.0555394385693 0.0555394364818 0.998456494177 0.998456494293
0.0560415107018 0.0560121829427 0.0560121808375 0.998430085366 0.998430085483
0.056514992122 0.056484914759 0.0564849126362 0.998403452721 0.998403452841
0.0569884735423 0.0569576339122 0.0569576317719 0.99837659625 0.998376596372
0.0574619549626 0.0574303402965 0.0574303381385 0.998349515959 0.998349516082
0.0579354363828 0.0579030338057 0.0579030316302 0.998322211852 0.998322211978
0.0584089178031 0.058375714334 0.0583757121408 0.998294683937 0.998294684065
0.0588823992233 0.0588483817753 0.0588483795645 0.99826693222 0.99826693235
0.0593558806436 0.0593210360237 0.0593210337953 0.998238956707 0.998238956838
0.0598293620639 0.0597936769732 0.0597936747273 0.998210757403 0.998210757537
0.0603028434841 0.060266304518 0.0602663022544 0.998182334316 0.998182334452
0.0607763249044 0.0607389185519 0.0607389162708 0.998153687452 0.99815368759
0.0612498063246 0.0612115189691 0.0612115166704 0.998124816818 0.998124816958
0.0617232877449 0.0616841056636 0.0616841033473 0.998095722419 0.998095722561
0.0621967691652 0.0621566785295 0.0621566761956 0.998066404262 0.998066404406
