# N lcg_actual lcg_estimated std_actual std_estimated quasi_actual quasi_estimated reference_sqrt reference_inverse
100 6.580808111774861e-03 2.123426828725934e-02 9.409313841033162e-03 2.313613430201885e-02 1.469880576290361e-02 4.670613497061993e-04 1.000000000000000e-01 1.000000000000000e-02
300 1.428355491892586e-02 1.216049253415209e-02 1.681246048663865e-02 1.265882020154280e-02 8.222154195359987e-03 3.881678879696926e-04 5.773502691896257e-02 3.333333333333334e-03
1000 1.766386501600326e-03 6.505490321408887e-03 2.814198121547151e-03 6.954248465715717e-03 2.505159574498372e-03 1.178655401431694e-03 3.162277660168379e-02 1.000000000000000e-03
3000 2.910032898063464e-03 3.915832161748003e-03 4.100524557601903e-03 3.954988682973856e-03 1.208893940933375e-03 3.826418324699432e-04 1.825741858350554e-02 3.333333333333333e-04
10000 3.169875053940618e-03 2.156200281666779e-03 1.588591192845046e-03 2.171163859686323e-03 3.201122430361858e-04 3.172142439766823e-05 1.000000000000000e-02 1.000000000000000e-04
30000 1.063335094701023e-03 1.245640538448285e-03 1.532331408352405e-03 1.247307385506402e-03 1.174616814210161e-04 4.596693474245850e-05 5.773502691896258e-03 3.333333333333333e-05
100000 1.132425808579862e-04 6.817280466783919e-04 1.450825733672390e-03 6.842549312975032e-04 3.662944107118982e-05 4.187811855183021e-06 3.162277660168379e-03 1.000000000000000e-05
300000 5.998275764165228e-04 3.945680375946296e-04 1.445109381614795e-04 3.945202079068944e-04 1.680281953464480e-05 1.370835975289530e-06 1.825741858350554e-03 3.333333333333333e-06
1000000 4.298059136541577e-04 2.162499439038459e-04 1.041269467665362e-04 2.161414762392793e-04 5.058230380328155e-06 1.309509674585208e-06 1.000000000000000e-03 1.000000000000000e-06
